id,o_S1,o_S2,o_S3,o_S4,o_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MzI2NjQxNzMxMg==,0,0,0,29,115,0.0,0.0,0.0,0.537037037037,0.737179487179
MzI2OTA0NzY4NA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI2OTAwODA0Mg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI2OTQ0MzkwNw==,0,0,0,147,82,0.0,0.0,0.0,0.6,0.398058252427
MzI3MDE2NDQxNQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI3MTU3NTQxOA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI3MjA0OTg1OQ==,0,9,19,10,22,0.0,0.428571428571,1.0,0.434782608696,0.88
MzI3MjMzNjY1Ng==,0,0,1,1,3,0.0,0.0,0.0135135135135,0.0147058823529,0.0182926829268
MzI3MzE1OTI3Nw==,0,15,95,49,9,0.0,0.154639175258,0.431818181818,0.485148514851,0.0661764705882
MzI3NTA0MzMyMQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI3NjEzNjI1Ng==,0,0,0,1,24,0.0,0.0,0.0,0.0103092783505,0.235294117647
MzI3NzQ5NTI0Mg==,0,0,0,1,3,0.0,0.0,0.0,0.027027027027,0.0882352941176
MzI3OTU0ODc0OA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI3OTY0NjQ3Mg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI4MzMwMzMwMg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI4NDQ5OTA3MQ==,0,0,0,0,1,0.0,0.0,0.0,0.0,0.00854700854701
MzI4NTA1NDg1OA==,0,22,22,8,13,0.0,0.0676923076923,0.0658682634731,0.028880866426,0.0365168539326
MzI4NTU4Mjc0Nw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI4NjEwNDMyNw==,0,0,0,1,0,0.0,0.0,0.0,0.003861003861,0.0
MzI4NzMwMDgyNA==,0,0,0,4,6,0.0,0.0,0.0,0.307692307692,0.461538461538
MzI4ODAyMjQ1Mw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI4ODIxOTU2Ng==,0,0,5,9,9,0.0,0.0,0.25,0.391304347826,0.473684210526
